,anammox_inhibition_factor,cod_anaerobic_digestion_inhibition_factor,Ammonia_OUT,Nitrite_OUT,Nitrate_OUT
164,0.4,0.04,0.11649098416426927,0.4793806529629559,0.14054978237260418
165,0.4,0.05,0.11600096389752304,0.47974755119812207,0.14712468651801794
166,0.4,0.06,0.11552963002942415,0.4801017568180851,0.15388491625738673
167,0.4,0.07,0.11507588056832103,0.480443976166826,0.16080138235702462
168,0.4,0.08,0.1146387041002204,0.48077485846126206,0.16784817030326002
169,0.4,0.09,0.11421716999584992,0.48109500207150374,0.17500218483667243
170,0.4,0.1,0.11381041995050922,0.48140495991790677,0.18224283745638423
171,0.4,0.2,0.11040660334714113,0.4840412547628442,0.25621131676057807
172,0.4,0.3,0.10787645817546293,0.48605413917045304,0.32731206363402493
173,0.4,0.4,0.10591849412617457,0.4876460528379386,0.3922146828724697
174,0.4,0.5,0.10435707508068173,0.48893849574671433,0.45036288571672656
175,0.4,0.6,0.10308227765531013,0.4900096170150797,0.5021527154271838
176,0.4,0.7,0.10202156832493446,0.4909122502613759,0.548264961923829
177,0.4,0.8,0.10112507048492626,0.491683509853952,0.5894152990567495
178,0.4,0.9,0.10035732519781965,0.49235028226980126,0.6262647288752307
179,0.4,1.0,0.09969241773182722,0.49293254616395676,0.6593933463851394
180,0.45,0.0,0.10325296695864604,0.4480476108419576,0.10812427856474242
181,0.45,0.01,0.10280406127011718,0.44838446683131383,0.11277510803821886
182,0.45,0.02,0.10237456144028832,0.4487081196811959,0.11780413738259088
183,0.45,0.03,0.10196313428674561,0.4490194294086272,0.12316228312896729
184,0.45,0.04,0.10156857769258727,0.44931917275416366,0.12880589007182522
185,0.45,0.05,0.10118980338608442,0.4496080541588881,0.13469609776604288
186,0.45,0.06,0.10082582257230673,0.4498867149184467,0.14079828721135806
187,0.45,0.07,0.10047573385041865,0.45015574087346877,0.1470815967748687
188,0.45,0.08,0.10013871298008982,0.45041566891501905,0.1535184979860972
189,0.45,0.09,0.09981400415668282,0.4506669925231236,0.16008442318779872
190,0.45,0.1,0.09950091252737205,0.45091016651046884,0.1667574381735253
191,0.45,0.2,0.0968889027488992,0.4529728830635907,0.2359466757615046
192,0.45,0.3,0.09495550349072822,0.45454196384621126,0.30341525007667863
193,0.45,0.4,0.09346344539018007,0.4557798104853238,0.36542067479261886
194,0.45,0.5,0.09227588840791164,0.45678298900582487,0.42118188555143266
195,0.45,0.6,0.09130773723387553,0.4576132388924733,0.47095934984442445
196,0.45,0.7,0.09050308984619584,0.4583121259818447,0.5153456582832872
197,0.45,0.8,0.0898236309642292,0.4589087597140527,0.5549957341787775
198,0.45,0.9,0.08924218879584794,0.4594241778047429,0.5905268691222915
199,0.45,1.0,0.08873894430034159,0.4598739834097848,0.6224866230890296
200,0.5,0.0,0.0904700194446993,0.42367846429659217,0.10093322417384429
201,0.5,0.01,0.09013162206235598,0.4239245728203945,0.10477311402692496
202,0.5,0.02,0.0898083998374611,0.4241607808610244,0.10902779987889628
203,0.5,0.03,0.0894992565162524,0.42438775428552566,0.11364549131159281
204,0.5,0.04,0.08920321003817061,0.4246060927900063,0.11858008618035812
205,0.5,0.05,0.08891937665647555,0.42481633870648455,0.12379050814190624
206,0.5,0.06,0.08864695782216138,0.4250189843610223,0.1292401278618191
207,0.5,0.07,0.08838522925977269,0.42521447826102166,0.13489625653169537
208,0.5,0.08,0.08813353179889531,0.4254032303298262,0.1407297019510218
209,0.5,0.09,0.08789126362460184,0.42558561636104836,0.1467143788199194
210,0.5,0.1,0.08765787368431277,0.42576198182979474,0.15282696607652788
211,0.5,0.2,0.08571801861982983,0.4272542707544139,0.21732254252925862
212,0.5,0.3,0.08428924784196724,0.42838574751929104,0.28125534989754014
213,0.5,0.4,0.08319002332165952,0.4292766225672927,0.34046048571011
214,0.5,0.5,0.0823169612009336,0.42999768056537957,0.3939277766944927
215,0.5,0.6,0.08160627487725519,0.4305939052229777,0.44178039865059027
216,0.5,0.7,0.08101628242885273,0.4310954621000122,0.48452223053641197
217,0.5,0.8,0.08051852309885403,0.4315234192918457,0.5227474959644964
